Mods count: 209
 
                               jar name                                 | notes |             mod id             |             mod name             |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
Bookshelf-Forge-1.20.1-20.2.15.jar                                      |       | bookshelf                      | Bookshelf                        | 20.2.15                      | bookshelf.forge.mixins.json, bookshelf.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                    | 9df4908f606c6dc62a358b3e04e3fdedba59a12c | 4263061721     
botarium-forge-1.20.1-2.3.4.jar                                         |       | botarium                       | Botarium                         | 2.3.4                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | a6928cb03b7c5f81900d3d3c8e8c8f6a89a51a5b | 752547332      
bucketlib-1.20.1-2.3.8.0.jar                                            |       | bucketlib                      | BucketLib                        | 1.20.1-2.3.8.0               | mixins.bucketlib.json, mixins.bucketlib.refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                                          | 963fa94b8ddbed9957876d8a93d8f3def505e361 | 730464825      
buildinggadgets2-1.0.8.jar                                              |       | buildinggadgets2               | Building Gadgets 2               | 1.0.8                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | d06a806e8ca84a9e96a69c32da4b43226a51e0c9 | 71960834       
buildinggadgetsae2request-1.20.1-forge-0.2.0.jar                        |       | buildinggadgetsae2request      | BuildingGadgetsAE2Request        | 0.2.0                        | buildinggadgetsae2request.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                        | c56381d44e40f9d0aac5bebb28164177a7308f7f | 524710385      
carryon-forge-1.20.1-2.1.2.7.jar                                        |       | carryon                        | Carry On                         | 2.1.2.7                      | carryon.mixins.json, carryon.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                               | 9999714ca3dd2f2401f0396ca44f3b27c3784c4f | 1899432453     
CBMultipart-1.20.1-3.3.0.159-universal.jar                              |       | cb_multipart                   | CBMultipart                      | 3.3.0.159                    | mixins.cbmultipart.json, mixins.cbmultipart.refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                                      | a7c111c320c35077ef4667315cdea11053652acc | 3704578912     
chipped-forge-1.20.1-3.0.7.jar                                          |       | chipped                        | Chipped                          | 3.0.7                        | chipped-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 25ee2a0846059d8f21d28b94b7e0229b60cb5499 | 3175573632     
ChippedExpress-universal-20x.jar                                        |       | chipped_express                | ChippedExpress                   | 1.3.2                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 47fd0dc3aff5b5069e657629646541c688383bc0 | 1286999688     
chisel_chipped_integration-v1.1.6-1.20.1.jar                            |       | chisel_chipped_integration     | Chisel                           | 1.1.4-1.20.1                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | d8f3a48f768585a3f2b513f037929ac1e9f37b94 | 1236398324     
